calDate,connectionStream,adCost,campaignId,clicksCounter,impressionsCounter
2021-07-19 00:00:00.000000 UTC,-8632808303847942277.facebook_ads,0.0,8618198552887552113,0,0
2021-07-16 00:00:00.000000 UTC,-8632808303847942277.facebook_ads,6.04,8618198552887552113,45,1025
2021-07-10 00:00:00.000000 UTC,-8632808303847942277.facebook_ads,19.99,8618198552887552113,103,3309
2021-07-09 00:00:00.000000 UTC,-8632808303847942277.facebook_ads,19.84,8618198552887552113,116,3629
2021-07-07 00:00:00.000000 UTC,-8632808303847942277.facebook_ads,20.14,8618198552887552113,116,4493
2021-07-03 00:00:00.000000 UTC,-8632808303847942277.facebook_ads,19.52,8618198552887552113,139,4255
2021-07-14 00:00:00.000000 UTC,-8632808303847942277.facebook_ads,20.09,8618198552887552113,141,3863
2021-07-11 00:00:00.000000 UTC,-8632808303847942277.facebook_ads,20.31,8618198552887552113,150,3648
2021-07-06 00:00:00.000000 UTC,-8632808303847942277.facebook_ads,20.09,8618198552887552113,152,4344
2021-07-15 00:00:00.000000 UTC,-8632808303847942277.facebook_ads,20.08,8618198552887552113,155,3468
2021-07-05 00:00:00.000000 UTC,-8632808303847942277.facebook_ads,20.05,8618198552887552113,158,4463
2021-07-08 00:00:00.000000 UTC,-8632808303847942277.facebook_ads,19.75,8618198552887552113,159,3849
2021-07-12 00:00:00.000000 UTC,-8632808303847942277.facebook_ads,19.71,8618198552887552113,160,5433
2021-07-13 00:00:00.000000 UTC,-8632808303847942277.facebook_ads,20.08,8618198552887552113,164,4902
2021-07-04 00:00:00.000000 UTC,-8632808303847942277.facebook_ads,20.14,8618198552887552113,182,4313
2021-07-02 00:00:00.000000 UTC,-8632808303847942277.facebook_ads,19.84,8618198552887552113,184,4661
2021-07-01 00:00:00.000000 UTC,-8632808303847942277.facebook_ads,20.12,8618198552887552113,201,5029
2021-07-01 00:00:00.000000 UTC,-8632808303847942277.facebook_ads,30.12,1987040576383103495,462,13543
2021-07-02 00:00:00.000000 UTC,-8632808303847942277.facebook_ads,15.06,1987040576383103495,213,5711
2022-06-01 00:00:00.000000 UTC,-8632808303847942277.facebook_ads,14.93,5866607297437322655,64,3348
2022-06-04 00:00:00.000000 UTC,-8632808303847942277.facebook_ads,14.97,5866607297437322655,73,2603
2022-06-03 00:00:00.000000 UTC,-8632808303847942277.facebook_ads,14.97,5866607297437322655,85,2782
2022-06-05 00:00:00.000000 UTC,-8632808303847942277.facebook_ads,14.91,5866607297437322655,87,2451
2022-06-02 00:00:00.000000 UTC,-8632808303847942277.facebook_ads,14.92,5866607297437322655,94,3147
2022-06-08 00:00:00.000000 UTC,-8632808303847942277.facebook_ads,14.95,5866607297437322655,81,2715
2022-06-06 00:00:00.000000 UTC,-8632808303847942277.facebook_ads,15.0,5866607297437322655,87,2491
2022-06-07 00:00:00.000000 UTC,-8632808303847942277.facebook_ads,15.0,5866607297437322655,79,2507
2022-06-10 00:00:00.000000 UTC,-8632808303847942277.facebook_ads,14.95,5866607297437322655,63,2557
2022-06-09 00:00:00.000000 UTC,-8632808303847942277.facebook_ads,14.99,5866607297437322655,80,2797
2022-06-11 00:00:00.000000 UTC,-8632808303847942277.facebook_ads,14.97,5866607297437322655,89,2302
2022-06-13 00:00:00.000000 UTC,-8632808303847942277.facebook_ads,14.92,5866607297437322655,78,2781
2022-06-12 00:00:00.000000 UTC,-8632808303847942277.facebook_ads,15.0,5866607297437322655,89,2621
2022-06-14 00:00:00.000000 UTC,-8632808303847942277.facebook_ads,14.95,5866607297437322655,72,2876
2022-06-15 00:00:00.000000 UTC,-8632808303847942277.facebook_ads,14.97,5866607297437322655,90,2674
2022-06-16 00:00:00.000000 UTC,-8632808303847942277.facebook_ads,14.99,5866607297437322655,90,2724
2022-06-17 00:00:00.000000 UTC,-8632808303847942277.facebook_ads,14.92,5866607297437322655,82,2719
2022-06-18 00:00:00.000000 UTC,-8632808303847942277.facebook_ads,14.96,5866607297437322655,88,2663
2022-06-19 00:00:00.000000 UTC,-8632808303847942277.facebook_ads,11.12,5866607297437322655,60,2031
2022-06-20 00:00:00.000000 UTC,-8632808303847942277.facebook_ads,14.99,5866607297437322655,40,2066
2022-06-21 00:00:00.000000 UTC,-8632808303847942277.facebook_ads,14.92,5866607297437322655,47,1658
2022-06-22 00:00:00.000000 UTC,-8632808303847942277.facebook_ads,14.86,5866607297437322655,49,1576
2022-06-23 00:00:00.000000 UTC,-8632808303847942277.facebook_ads,14.98,5866607297437322655,47,1659
2022-06-24 00:00:00.000000 UTC,-8632808303847942277.facebook_ads,15.0,5866607297437322655,60,1843
2022-06-25 00:00:00.000000 UTC,-8632808303847942277.facebook_ads,14.99,5866607297437322655,71,1958
2022-06-26 00:00:00.000000 UTC,-8632808303847942277.facebook_ads,14.98,5866607297437322655,67,2248
2022-06-28 00:00:00.000000 UTC,-8632808303847942277.facebook_ads,14.99,5866607297437322655,68,2612
2022-06-27 00:00:00.000000 UTC,-8632808303847942277.facebook_ads,15.0,5866607297437322655,49,2026
2022-06-29 00:00:00.000000 UTC,-8632808303847942277.facebook_ads,14.96,5866607297437322655,58,1760
2022-06-30 00:00:00.000000 UTC,-8632808303847942277.facebook_ads,14.99,5866607297437322655,58,2213
2022-06-03 00:00:00.000000 UTC,-8632808303847942277.facebook_ads,69.88,-1427426740988586418,208,24482
2022-06-04 00:00:00.000000 UTC,-8632808303847942277.facebook_ads,69.12,-1427426740988586418,217,24854
2022-06-02 00:00:00.000000 UTC,-8632808303847942277.facebook_ads,69.98,-1427426740988586418,245,29579
2022-06-05 00:00:00.000000 UTC,-8632808303847942277.facebook_ads,70.33,-1427426740988586418,250,28559
2022-06-01 00:00:00.000000 UTC,-8632808303847942277.facebook_ads,69.71,-1427426740988586418,255,29220
2022-06-06 00:00:00.000000 UTC,-8632808303847942277.facebook_ads,58.78,-1427426740988586418,185,21453
2022-06-07 00:00:00.000000 UTC,-8632808303847942277.facebook_ads,45.13,-1427426740988586418,136,15193
2022-06-08 00:00:00.000000 UTC,-8632808303847942277.facebook_ads,44.84,-1427426740988586418,127,13987
2022-06-10 00:00:00.000000 UTC,-8632808303847942277.facebook_ads,44.65,-1427426740988586418,102,14173
2022-06-09 00:00:00.000000 UTC,-8632808303847942277.facebook_ads,44.69,-1427426740988586418,139,14853
2022-06-11 00:00:00.000000 UTC,-8632808303847942277.facebook_ads,44.04,-1427426740988586418,116,15098
2022-06-13 00:00:00.000000 UTC,-8632808303847942277.facebook_ads,45.23,-1427426740988586418,150,16513
2022-06-14 00:00:00.000000 UTC,-8632808303847942277.facebook_ads,45.2,-1427426740988586418,126,15747
2022-06-12 00:00:00.000000 UTC,-8632808303847942277.facebook_ads,45.22,-1427426740988586418,165,16119
2022-06-15 00:00:00.000000 UTC,-8632808303847942277.facebook_ads,45.05,-1427426740988586418,131,14993
2022-06-16 00:00:00.000000 UTC,-8632808303847942277.facebook_ads,45.05,-1427426740988586418,121,14318
2022-06-17 00:00:00.000000 UTC,-8632808303847942277.facebook_ads,44.55,-1427426740988586418,113,13219
2022-06-18 00:00:00.000000 UTC,-8632808303847942277.facebook_ads,44.06,-1427426740988586418,115,12504
2022-06-21 00:00:00.000000 UTC,-8632808303847942277.facebook_ads,30.31,-1427426740988586418,75,7717
2022-06-19 00:00:00.000000 UTC,-8632808303847942277.facebook_ads,45.4,-1427426740988586418,130,12766
2022-06-20 00:00:00.000000 UTC,-8632808303847942277.facebook_ads,45.16,-1427426740988586418,135,14333
